product_id;variant_id;rotation_qty;unit_price_brutto;purchase_cost;date;weekday;hour
206099893;0;1;45.0;19.0;2025-10-02;4;21
286105223;0;1;119.99;60.27;2025-10-02;4;23
206045800;0;1;299.99;214.0;2025-10-02;4;23
297660477;0;1;53.99;42.25;2025-10-02;4;23
209155766;0;100;0.9;0.02;2025-10-02;4;23
302389767;0;1;28.99;12.3;2025-10-02;4;22
206114911;0;1;23.99;10.0;2025-10-02;4;22
188255636;188255641;1;15.99;0.0;2025-10-02;4;22
206060142;0;1;82.99;42.0;2025-10-02;4;23
276839816;0;1;3.49;0.6;2025-10-02;4;22
269648007;0;1;3.49;0.6;2025-10-02;4;22
263463788;0;2;9.39;1.86;2025-10-02;4;22
263463772;0;2;9.49;1.88;2025-10-02;4;22
263463288;0;3;8.99;1.65;2025-10-02;4;22
206109207;0;1;5485.0;19.0;2025-10-02;4;21
276855292;0;1;3.49;0.6;2025-10-02;4;22
297665185;0;20;7.99;3.56;2025-10-03;5;15
297665185;0;4;3.79;3.56;2025-10-03;5;15
257033582;0;1;3.49;0.6;2025-10-03;5;15
256838495;0;1;13.99;4.8;2025-10-03;5;15
206047833;0;1;149.99;71.5;2025-10-03;5;16
256838495;0;1;13.99;4.8;2025-10-03;5;16
209155766;0;50;0.9;0.02;2025-10-03;5;16
206060142;0;1;82.99;42.0;2025-10-03;5;16
276883429;0;1;4.99;4.3;2025-10-03;5;16
257019258;0;1;59.99;11.7;2025-10-03;5;16
302395681;0;1;49.99;23.4;2025-10-03;5;15
205710768;0;1;344.99;199.0;2025-10-03;5;16
209155726;0;10;1.79;0.54;2025-10-03;5;15
206060142;0;1;82.99;42.0;2025-10-03;5;14
257018558;0;1;59.99;58.5;2025-10-03;5;14
269788071;0;1;319.0;246.0;2025-10-03;5;14
206060103;0;1;45.0;21.0;2025-10-03;5;14
206114911;0;1;23.99;10.0;2025-10-03;5;14
206060073;0;1;23.49;10.5;2025-10-03;5;14
205714788;0;1;53.99;42.5;2025-10-03;5;14
209216880;0;1;47.99;29.8;2025-10-03;5;16
286366327;0;1;29.99;12.9;2025-10-03;5;14
286365500;0;1;65.0;27.25;2025-10-03;5;14
206114657;0;1;22.99;9.5;2025-10-03;5;14
205722306;0;1;117.99;65.5;2025-10-03;5;14
206060103;0;1;45.0;21.0;2025-10-03;5;14
205714788;0;1;53.99;42.5;2025-10-03;5;14
276892730;0;1;9.99;21.5;2025-10-03;5;14
206060142;0;1;82.99;42.0;2025-10-03;5;17
206060073;0;4;23.49;10.5;2025-10-03;5;18
206114911;0;1;23.99;10.0;2025-10-03;5;17
206060103;0;1;45.0;21.0;2025-10-03;5;23
276797185;0;2;1890.0;6.79;2025-10-03;5;23
276797068;0;2;1890.0;6.77;2025-10-03;5;23
188254367;188254368;1;18.99;0.0;2025-10-03;5;23
276797214;0;1;39.99;20.7;2025-10-03;5;23
257019258;0;1;59.99;11.7;2025-10-03;5;22
256838374;0;1;32.99;12.0;2025-10-03;5;22
267153390;0;1;14.99;4.15;2025-10-03;5;22
188254984;188255190;1;8.99;0.0;2025-10-03;5;22
